7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
3    87  161.851   2.05253     33.0991   227.6   
3    88  162.171   2.05161     33.0843   227.6   
3    89  161.983   2.08473     33.6184   227.6   
3    90  161.793   2.06013     33.2217   227.6   
3    91  162.614   2.03556     32.8255   227.6   
3    92  162.672   2.02667     32.682    227.6   
3    93  162.357   2.06418     33.2869   227.6   
3    94  161.279   2.06319     33.2709   227.6   
3    95  160.493   2.10706     33.9784   227.6   
3    96  161.825   2.06369     33.2791   227.6   
3    97  162.318   2.05655     33.1639   227.6   
3    98  161.769   2.11542     34.1132   227.6   
3    99  161.53    2.09517     33.7867   227.6   
3    100 161.416   2.10058     33.874    227.6   
Done run 3 of 29

Beginning Run 4 of 29
Run  RI  Mean      95% CI      SD        Best    
4    0   24.3762   0.198511    3.20119   37.6    
4    1   48.3578   0.369515    5.95879   78      
4    2   80.6808   0.724892    11.6896   139.4   
4    3   113.135   0.98609     15.9017   159.8   
4    4   129.347   1.19003     19.1903   183     
4    5   138.241   1.40076     22.5886   193.8   
4    6   143.456   1.5235      24.5679   196.6   
4    7   146.765   1.60774     25.9263   206.2   
4    8   150.707   1.66099     26.7851   206.2   
4    9   152.509   1.68176     27.12     209.4   
4    10  153.507   1.69828     27.3864   209.6   
4    11  153.74    1.79504     28.9468   209.6   
4    12  156.013   1.75241     28.2594   209.6   
4    13  156.875   1.79804     28.9953   209.6   
4    14  156.549   1.88531     30.4024   211.2   
4    15  158.041   1.84222     29.7077   211.2   
4    16  158.063   1.88401     30.3816   211.2   
4    17  158.352   1.88347     30.3729   211.2   
4    18  158.64    1.87663     30.2625   212.2   
4    19  158.824   1.90525     30.7241   214.2   
4    20  158.474   1.90748     30.76     214.2   
4    21  158.022   1.92683     31.0721   214.2   
4    22  159.248   1.93386     31.1855   214.2   
4    23  159.494   1.93007     31.1243   214.6   
4    24  159.587   1.9498      31.4425   215     
4    25  159.516   1.97433     31.838    215     
4    26  159.392   1.97128     31.7889   215     
4    27  159.581   1.99529     32.1761   218.2   
4    28  160.153   1.95523     31.53     218.2   
4    29  159.223   1.96693     31.7187   218.2   
4    30  160.434   1.95699     31.5584   218.2   
4    31  160.463   1.95326     31.4982   218.2   
4    32  160.961   1.97272     31.8121   218.2   
4    33  160.223   1.95896     31.5901   218.2   
4    34  160.462   2.02246     32.6141   218.2   
4    35  160.503   1.97242     31.8072   221.2   
4    36  160.917   2.01298     32.4612   221.2   
4    37  160.472   2.01861     32.5521   221.2   
4    38  159.086   1.96967     31.763    221.2   
4    39  160.302   2.00456     32.3256   222.2   
4    40  160.079   1.99352     32.1475   226.2   
4    41  160.684   1.96844     31.743    226.2   
